diacritic,pronunciation,label,values,triggers,weight
PLURAL_2,PLURAL,PLURAL,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.0
TOOTH_1,TOOTH,TOOTH,set(),set(),10.3
TOOTH_2,TOOTH,TOOTH,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",11.5
BALL_3,BALL,BALL,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",9.900000000000004
BALL_4,BALL,BALL,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",18.7
STONEB_1,STONEB,STONEB,set(),set(),10.5
STONEB_2,STONEB,STONEB,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.9
null_29,null,nominalizer,"{'i_1', 'o_1'}","{('i', frozenset({'-atomic'})), ('e', frozenset({'+atomic'}))}",12.200000000000008
null_30,null,nominalizer,"{'i_1', 'o_1'}","{('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",23.2
null_31,null,nominalizer,"{'i_1', 'o_1'}","{('null', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",11.000000000000009
KICKAAUG_1,KICKAAUG,KICKAAUG,set(),set(),9.9
KICKAAUG_2,KICKAAUG,KICKAAUG,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.0
BABY_1,BABY,BABY,set(),set(),9.400000000000002
BABY_2,BABY,BABY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.700000000000001
SOCKDIMA_1,SOCKDIMA,SOCKDIMA,set(),set(),10.4
SOCKDIMA_2,SOCKDIMA,SOCKDIMA,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
FLOOR_1,FLOOR,FLOOR,set(),set(),9.9
FLOOR_2,FLOOR,FLOOR,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
SNAILA_1,SNAILA,SNAILA,set(),set(),10.800000000000002
SNAILA_2,SNAILA,SNAILA,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",12.3
HEDGEHOG_1,HEDGEHOG,HEDGEHOG,set(),set(),10.100000000000001
HEDGEHOG_2,HEDGEHOG,HEDGEHOG,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.0
null_32,null,nominalizer,"{'a_2', 'e_2'}","{('a', frozenset({'+atomic'}))}",17.399999999999995
WHEELB_3,WHEELB,WHEELB,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.700000000000001
WHEELB_4,WHEELB,WHEELB,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
CONSTRUCTION_1,CONSTRUCTION,CONSTRUCTION,set(),set(),10.0
CONSTRUCTION_2,CONSTRUCTION,CONSTRUCTION,set(),"{('null', frozenset()), ('e', frozenset({'+atomic'}))}",10.5
PAPERDIM_1,PAPERDIM,PAPERDIM,set(),set(),10.0
PAPERDIM_2,PAPERDIM,PAPERDIM,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.0
PAPER_1,PAPER,PAPER,set(),set(),9.9
PAPER_2,PAPER,PAPER,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.8
CAR_1,CAR,CAR,set(),set(),11.3
CAR_2,CAR,CAR,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",11.4
null_33,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'-atomic'})), ('a', frozenset({'+atomic'}))}",20.40000000000001
SEATDIM_1,SEATDIM,SEATDIM,set(),set(),9.9
SEATDIM_2,SEATDIM,SEATDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.0
null_34,null,nominalizer,{'a_2'},"{('null', frozenset({'+atomic'}))}",8.40000000000001
BIKE_1,BIKE,BIKE,set(),set(),10.8
BIKE_2,BIKE,BIKE,set(),"{('null', frozenset()), ('null', frozenset({'+atomic'}))}",12.0
ROOSTER_1,ROOSTER,ROOSTER,set(),set(),9.600000000000001
ROOSTER_2,ROOSTER,ROOSTER,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",11.5
BAMBINO_3,BAMBINO,BAMBINO,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",10.8
BAMBINO_4,BAMBINO,BAMBINO,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",10.3
BATHDIM_1,BATHDIM,BATHDIM,set(),set(),10.5
BATHDIM_2,BATHDIM,BATHDIM,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
PEARLDIM_1,PEARLDIM,PEARLDIM,set(),set(),11.0
PEARLDIM_2,PEARLDIM,PEARLDIM,set(),"{('e', frozenset({'-atomic'})), ('null', frozenset())}",11.0
null_35,null,nominalizer,"{'a_2', 'e_2'}","{('e', frozenset({'+atomic'}))}",10.400000000000006
null_36,null,nominalizer,"{'a_2', 'e_2'}","{('o', frozenset({'+atomic'}))}",8.900000000000007
null_37,null,nominalizer,"{'a_2', 'e_2'}","{('null', frozenset({'+atomic'}))}",9.300000000000006
RAIN_1,RAIN,RAIN,set(),set(),9.9
RAIN_2,RAIN,RAIN,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",10.5
RABBIT_1,RABBIT,RABBIT,set(),set(),10.700000000000001
RABBIT_2,RABBIT,RABBIT,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.0
CELERY_1,CELERY,CELERY,set(),set(),10.0
CELERY_2,CELERY,CELERY,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",10.5
CASTLE_1,CASTLE,CASTLE,set(),set(),12.100000000000001
CASTLE_2,CASTLE,CASTLE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",13.5
HORSE_1,HORSE,HORSE,set(),set(),13.700000000000003
HORSE_2,HORSE,HORSE,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",12.100000000000003
HORSE_3,HORSE,HORSE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",12.400000000000002
HORSE_4,HORSE,HORSE,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'})), ('i', frozenset({'-atomic'}))}",14.500000000000002
QUEEN_1,QUEEN,QUEEN,set(),set(),11.300000000000002
QUEEN_2,QUEEN,QUEEN,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",13.5
KING_1,KING,KING,set(),set(),11.100000000000003
KING_2,KING,KING,set(),"{('null', frozenset()), ('null', frozenset({'+atomic'}))}",17.0
BABY_3,BABY,BABY,set(),"{('null', frozenset()), ('a', frozenset({'+atomic'}))}",9.700000000000001
SOFA_1,SOFA,SOFA,set(),set(),10.500000000000002
SOFA_2,SOFA,SOFA,set(),"{('null', frozenset()), ('o', frozenset({'+atomic'}))}",13.5
BOOKDIM_3,BOOKDIM,BOOKDIM,set(),"{('null', frozenset()), ('i', frozenset({'-atomic'}))}",9.800000000000004
