Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
3449,490.0000000000429,292.7999999999981,478.1000000000402,187.8999999999936,179.0999999999941,270.0999999999929,101.5999999999985,201.29999999999285,29.40000000000015
3450,490.10000000004294,292.7999999999981,478.1000000000402,188.0999999999936,179.0999999999941,270.0999999999929,101.5999999999985,201.29999999999285,29.500000000000153
3451,490.20000000004296,292.7999999999981,478.1000000000402,188.39999999999358,179.0999999999941,270.0999999999929,101.5999999999985,201.29999999999285,29.600000000000154
3452,490.60000000004305,292.8999999999981,478.1000000000402,188.49999999999358,179.0999999999941,270.19999999999294,101.5999999999985,201.29999999999285,29.600000000000154
3453,490.60000000004305,292.8999999999981,478.20000000004023,188.49999999999358,179.2999999999941,270.19999999999294,101.5999999999985,201.29999999999285,29.600000000000154
3454,490.60000000004305,292.9999999999981,478.5000000000403,188.49999999999358,179.3999999999941,270.29999999999296,101.6999999999985,201.49999999999284,29.600000000000154
3455,490.7000000000431,292.9999999999981,478.5000000000403,188.79999999999356,179.3999999999941,270.29999999999296,101.6999999999985,201.49999999999284,29.700000000000156
3456,490.7000000000431,293.09999999999815,478.80000000004037,188.79999999999356,179.4999999999941,270.399999999993,101.79999999999849,201.69999999999283,29.700000000000156
3457,490.8000000000431,293.09999999999815,478.9000000000404,188.79999999999356,179.4999999999941,270.59999999999303,101.79999999999849,201.69999999999283,29.700000000000156
3458,490.8000000000431,293.19999999999817,479.3000000000405,188.79999999999356,179.59999999999408,270.69999999999305,101.89999999999849,201.89999999999281,29.700000000000156
3459,490.9000000000431,293.3999999999982,479.4000000000405,188.79999999999356,179.59999999999408,270.69999999999305,101.89999999999849,201.89999999999281,29.700000000000156
3460,490.9000000000431,293.49999999999824,479.7000000000406,188.79999999999356,179.69999999999408,270.7999999999931,101.99999999999848,202.0999999999928,29.700000000000156
3461,491.00000000004314,293.49999999999824,479.7000000000406,188.99999999999355,179.69999999999408,270.7999999999931,101.99999999999848,202.0999999999928,29.800000000000157
3462,491.10000000004317,293.49999999999824,479.7000000000406,189.19999999999354,179.69999999999408,270.7999999999931,101.99999999999848,202.0999999999928,29.90000000000016
3463,491.10000000004317,293.59999999999826,480.00000000004064,189.19999999999354,179.79999999999407,270.8999999999931,102.09999999999847,202.2999999999928,29.90000000000016
3464,491.2000000000432,293.59999999999826,480.00000000004064,189.39999999999353,179.79999999999407,270.8999999999931,102.09999999999847,202.2999999999928,30.00000000000016
3465,491.2000000000432,293.6999999999983,480.3000000000407,189.39999999999353,179.89999999999407,270.9999999999931,102.19999999999847,202.49999999999278,30.00000000000016
3466,491.2000000000432,293.7999999999983,480.6000000000408,189.39999999999353,179.99999999999406,271.09999999999314,102.29999999999846,202.69999999999277,30.00000000000016
3467,491.50000000004326,293.89999999999833,480.6000000000408,189.49999999999352,179.99999999999406,271.19999999999317,102.29999999999846,202.69999999999277,30.00000000000016
