Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'-definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - i_2"
187,19.200000000000006,13.29999999999997,19.800000000000015,7.6999999999999895,7.6999999999999895,12.999999999999972
188,19.50000000000001,13.39999999999997,19.800000000000015,7.6999999999999895,7.799999999999989,13.099999999999971
189,19.800000000000015,13.49999999999997,19.800000000000015,7.6999999999999895,7.899999999999989,13.19999999999997
190,19.900000000000016,13.699999999999969,19.900000000000016,7.6999999999999895,7.899999999999989,13.19999999999997
191,20.000000000000018,13.699999999999969,20.000000000000018,7.6999999999999895,7.899999999999989,13.39999999999997
192,20.000000000000018,13.699999999999969,20.10000000000002,7.799999999999989,7.899999999999989,13.39999999999997
193,20.10000000000002,13.899999999999968,20.20000000000002,7.799999999999989,7.899999999999989,13.39999999999997
194,20.10000000000002,13.999999999999968,20.600000000000026,7.899999999999989,7.899999999999989,13.49999999999997
195,20.20000000000002,13.999999999999968,20.600000000000026,7.899999999999989,7.9999999999999885,13.49999999999997
196,20.20000000000002,14.099999999999968,21.000000000000032,7.9999999999999885,7.9999999999999885,13.59999999999997
197,20.300000000000022,14.099999999999968,21.100000000000033,7.9999999999999885,7.9999999999999885,13.799999999999969
198,20.300000000000022,14.099999999999968,21.200000000000035,8.099999999999989,7.9999999999999885,13.799999999999969
199,20.400000000000023,14.099999999999968,21.300000000000036,8.099999999999989,7.9999999999999885,14.099999999999968
200,20.80000000000003,14.199999999999967,21.300000000000036,8.099999999999989,8.099999999999989,14.199999999999967
201,20.90000000000003,14.399999999999967,21.400000000000038,8.099999999999989,8.099999999999989,14.199999999999967
202,21.300000000000036,14.499999999999966,21.400000000000038,8.099999999999989,8.199999999999989,14.299999999999967
203,21.700000000000042,14.599999999999966,21.400000000000038,8.099999999999989,8.299999999999988,14.399999999999967
204,21.800000000000043,14.599999999999966,21.50000000000004,8.099999999999989,8.299999999999988,14.599999999999966
205,22.20000000000005,14.699999999999966,21.50000000000004,8.099999999999989,8.399999999999988,14.699999999999966
206,22.20000000000005,14.799999999999965,21.900000000000045,8.199999999999989,8.399999999999988,14.799999999999965
207,22.20000000000005,14.799999999999965,22.000000000000046,8.399999999999988,8.399999999999988,14.799999999999965
208,22.20000000000005,14.899999999999965,22.30000000000005,8.499999999999988,8.399999999999988,14.899999999999965
209,22.600000000000055,14.999999999999964,22.30000000000005,8.499999999999988,8.499999999999988,14.999999999999964
210,22.700000000000056,15.199999999999964,22.400000000000052,8.499999999999988,8.499999999999988,14.999999999999964
211,22.800000000000058,15.199999999999964,22.400000000000052,8.499999999999988,8.599999999999987,14.999999999999964
212,22.90000000000006,15.199999999999964,22.400000000000052,8.499999999999988,8.799999999999986,14.999999999999964
213,23.00000000000006,15.199999999999964,22.500000000000053,8.499999999999988,8.799999999999986,15.199999999999964
214,23.100000000000062,15.199999999999964,22.500000000000053,8.499999999999988,8.999999999999986,15.199999999999964
215,23.100000000000062,15.299999999999963,22.800000000000058,8.599999999999987,8.999999999999986,15.299999999999963
216,23.200000000000063,15.299999999999963,22.800000000000058,8.599999999999987,9.099999999999985,15.299999999999963
217,23.200000000000063,15.399999999999963,23.100000000000062,8.699999999999987,9.099999999999985,15.399999999999963
218,23.300000000000065,15.599999999999962,23.200000000000063,8.699999999999987,9.099999999999985,15.399999999999963
219,23.300000000000065,15.699999999999962,23.500000000000068,8.799999999999986,9.099999999999985,15.499999999999963
220,23.300000000000065,15.799999999999962,23.80000000000007,8.899999999999986,9.099999999999985,15.599999999999962
221,23.300000000000065,15.799999999999962,23.900000000000073,8.999999999999986,9.099999999999985,15.599999999999962
222,23.300000000000065,15.799999999999962,24.000000000000075,9.099999999999985,9.099999999999985,15.599999999999962
223,23.400000000000066,15.799999999999962,24.100000000000076,9.099999999999985,9.099999999999985,15.799999999999962
224,23.500000000000068,15.999999999999961,24.200000000000077,9.099999999999985,9.099999999999985,15.799999999999962
225,23.60000000000007,15.999999999999961,24.200000000000077,9.099999999999985,9.199999999999985,15.799999999999962
226,23.60000000000007,16.099999999999962,24.50000000000008,9.199999999999985,9.199999999999985,15.899999999999961
227,23.60000000000007,16.099999999999962,24.600000000000083,9.299999999999985,9.199999999999985,15.899999999999961
228,23.900000000000073,16.199999999999964,24.600000000000083,9.299999999999985,9.299999999999985,15.999999999999961
