Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '-definite'} - definite - a_2","{'+definite', '+atomic'} - definite - o_1","{'+atomic', '-definite'} - definite - o_1"
50,6.399999999999994,4.200000000000002,4.500000000000001,3.100000000000002,5.399999999999998,2.100000000000001
51,6.399999999999994,4.200000000000002,4.500000000000001,3.100000000000002,5.499999999999997,2.200000000000001
52,6.499999999999994,4.400000000000001,4.500000000000001,3.100000000000002,5.599999999999997,2.200000000000001
53,6.899999999999992,4.500000000000001,4.6000000000000005,3.200000000000002,5.599999999999997,2.200000000000001
54,6.999999999999992,4.500000000000001,4.6000000000000005,3.400000000000002,5.599999999999997,2.200000000000001
55,6.999999999999992,4.500000000000001,4.6000000000000005,3.400000000000002,5.699999999999997,2.300000000000001
56,7.299999999999991,4.6000000000000005,4.7,3.500000000000002,5.699999999999997,2.300000000000001
57,7.299999999999991,4.7,4.8,3.500000000000002,5.999999999999996,2.4000000000000012
58,7.399999999999991,4.7,4.999999999999999,3.500000000000002,6.099999999999995,2.4000000000000012
59,7.49999999999999,4.7,5.199999999999998,3.500000000000002,6.199999999999995,2.4000000000000012
60,7.59999999999999,4.8999999999999995,5.199999999999998,3.500000000000002,6.2999999999999945,2.4000000000000012
61,7.9999999999999885,4.999999999999999,5.299999999999998,3.6000000000000023,6.2999999999999945,2.4000000000000012
62,8.399999999999988,5.099999999999999,5.399999999999998,3.7000000000000024,6.2999999999999945,2.4000000000000012
63,8.699999999999987,5.199999999999998,5.499999999999997,3.8000000000000025,6.2999999999999945,2.4000000000000012
64,8.699999999999987,5.199999999999998,5.499999999999997,3.8000000000000025,6.399999999999994,2.5000000000000013
65,8.799999999999986,5.199999999999998,5.699999999999997,3.8000000000000025,6.499999999999994,2.5000000000000013
66,8.899999999999986,5.199999999999998,5.899999999999996,3.8000000000000025,6.599999999999993,2.5000000000000013
67,8.999999999999986,5.199999999999998,5.899999999999996,4.000000000000003,6.599999999999993,2.5000000000000013
68,9.299999999999985,5.299999999999998,5.999999999999996,4.100000000000002,6.599999999999993,2.5000000000000013
69,9.699999999999983,5.399999999999998,6.099999999999995,4.200000000000002,6.599999999999993,2.5000000000000013
70,9.799999999999983,5.399999999999998,6.399999999999994,4.200000000000002,6.699999999999993,2.5000000000000013
71,9.899999999999983,5.399999999999998,6.599999999999993,4.200000000000002,6.799999999999993,2.5000000000000013
72,9.899999999999983,5.399999999999998,6.599999999999993,4.200000000000002,6.899999999999992,2.6000000000000014
73,9.899999999999983,5.499999999999997,6.699999999999993,4.200000000000002,7.199999999999991,2.7000000000000015
74,9.999999999999982,5.499999999999997,6.699999999999993,4.300000000000002,7.199999999999991,2.7000000000000015
75,9.999999999999982,5.599999999999997,6.799999999999993,4.300000000000002,7.59999999999999,2.8000000000000016
76,9.999999999999982,5.699999999999997,6.899999999999992,4.300000000000002,7.899999999999989,2.9000000000000017
77,10.099999999999982,5.899999999999996,6.899999999999992,4.300000000000002,7.9999999999999885,2.9000000000000017
78,10.099999999999982,5.899999999999996,6.899999999999992,4.300000000000002,8.099999999999989,3.0000000000000018
79,10.099999999999982,5.899999999999996,6.899999999999992,4.300000000000002,8.199999999999989,3.200000000000002
80,10.199999999999982,5.899999999999996,7.199999999999991,4.300000000000002,8.299999999999988,3.200000000000002
81,10.299999999999981,6.099999999999995,7.199999999999991,4.300000000000002,8.399999999999988,3.200000000000002
82,10.39999999999998,6.099999999999995,7.199999999999991,4.500000000000001,8.399999999999988,3.200000000000002
83,10.49999999999998,6.099999999999995,7.199999999999991,4.7,8.399999999999988,3.200000000000002
84,10.79999999999998,6.199999999999995,7.299999999999991,4.8,8.399999999999988,3.200000000000002
85,10.79999999999998,6.2999999999999945,7.399999999999991,4.8,8.799999999999986,3.300000000000002
86,10.899999999999979,6.2999999999999945,7.59999999999999,4.8,8.899999999999986,3.300000000000002
87,10.999999999999979,6.499999999999994,7.59999999999999,4.8,8.999999999999986,3.300000000000002
88,11.099999999999978,6.499999999999994,7.799999999999989,4.8,9.099999999999985,3.300000000000002
89,11.199999999999978,6.499999999999994,7.9999999999999885,4.8,9.199999999999985,3.300000000000002
90,11.299999999999978,6.499999999999994,8.199999999999989,4.8,9.299999999999985,3.300000000000002
91,11.299999999999978,6.599999999999993,8.299999999999988,4.8,9.599999999999984,3.400000000000002
92,11.399999999999977,6.599999999999993,8.299999999999988,4.999999999999999,9.599999999999984,3.400000000000002
93,11.499999999999977,6.599999999999993,8.499999999999988,4.999999999999999,9.699999999999983,3.400000000000002
94,11.499999999999977,6.599999999999993,8.499999999999988,4.999999999999999,9.799999999999983,3.500000000000002
95,11.499999999999977,6.599999999999993,8.499999999999988,4.999999999999999,9.899999999999983,3.6000000000000023
96,11.499999999999977,6.599999999999993,8.499999999999988,4.999999999999999,9.999999999999982,3.7000000000000024
97,11.599999999999977,6.599999999999993,8.699999999999987,4.999999999999999,10.099999999999982,3.7000000000000024
98,11.699999999999976,6.899999999999992,8.699999999999987,4.999999999999999,10.199999999999982,3.7000000000000024
99,11.799999999999976,6.899999999999992,8.999999999999986,4.999999999999999,10.299999999999981,3.7000000000000024
100,11.899999999999975,6.899999999999992,8.999999999999986,5.199999999999998,10.299999999999981,3.7000000000000024
101,12.199999999999974,6.999999999999992,9.099999999999985,5.299999999999998,10.299999999999981,3.7000000000000024
102,12.299999999999974,7.199999999999991,9.099999999999985,5.299999999999998,10.39999999999998,3.7000000000000024
103,12.399999999999974,7.199999999999991,9.099999999999985,5.499999999999997,10.39999999999998,3.7000000000000024
104,12.799999999999972,7.299999999999991,9.199999999999985,5.599999999999997,10.39999999999998,3.7000000000000024
105,12.899999999999972,7.299999999999991,9.399999999999984,5.599999999999997,10.49999999999998,3.7000000000000024
106,13.19999999999997,7.399999999999991,9.499999999999984,5.699999999999997,10.49999999999998,3.7000000000000024
107,13.19999999999997,7.49999999999999,9.599999999999984,5.699999999999997,10.79999999999998,3.8000000000000025
108,13.29999999999997,7.49999999999999,9.799999999999983,5.699999999999997,10.899999999999979,3.8000000000000025
109,13.29999999999997,7.59999999999999,9.899999999999983,5.699999999999997,11.199999999999978,3.9000000000000026
110,13.39999999999997,7.799999999999989,9.899999999999983,5.699999999999997,11.299999999999978,3.9000000000000026
