delete?,ROOT,ROOT+DIM,unique,UPPER,Italian lemma,Italian stem form,singular affix,pl affix,class,grammatical gender,animate?,feminine?
,till,till.DIM,cassa-DIMfem,TILL.DIM,cassa-DIM,cassett,TBD,,,fem,,
,cassette,cassette,cassettafem,CASSETTE,cassetta,cassett,a,,I,fem,,
,drawers,drawers,cassettierafem,DRAWERS,cassettiera,cassettier,a,,I,fem,,
,DRAWER,DRAWER,cassettomasc,DRAWER,cassetto,cassett,o,i,II,masc,,
,DRAWER,DRAWER.DIM,cassetto-DIMmasc,DRAWER.DIM,cassetto-DIM,cassettin,TBD,,,masc,,
delete,,,castellomasc,,castello,<castello,o,,II,masc,,
,CASTLE,CASTLE,castellomasc,CASTLE,castello,castell,o,,II,masc,,
,beaver,beaver,castoromasc,BEAVER,castoro,castor,o,i,II,masc,ANIM,
,beaver,beaver.DIM,castoro-DIMmasc,BEAVER.DIM,castoro-DIM,castorin,o,i,II,masc,ANIM,
,chain,chain,catenafem,CHAIN,catena,caten,a,,I,fem,,
,BAD,BAD,,,cattivo,cattiv,,,,,,
,horse,horse,cavallomasc,HORSE,cavallo,cavall,o,,II,masc,ANIM,
,HORSEY,HORSEY,cavallo-AUGmasc,HORSEY,cavallo-AUG,cavallucci,o,i,II,masc,ANIM,
,horse,horse.DIM,cavallo-DIMmasc,HORSE.DIM,cavallo-DIM,cavallin,o,i,II,masc,ANIM,
,cabbage,cabbage.DIM,cavolo-DIMmasc,CABBAGE.DIM,cavolo-DIM,cavolett,o,i,II,masc,,
,DINNER,DINNER,cenafem,DINNER,cena,cen,a,e,I,fem,,
,peashooter,peashooter,cerbottanafem,PEASHOOTER,cerbottana,cerbottan,a,,I,fem,,
,ring,ring,cerchiomasc,RING,cerchio,cerchi,o,,II,masc,,
,ring,ring,cerchiomasc,RING,cerchio,cerch,o,,II,masc,,
,BRAIN,BRAIN,cervellomasc,BRAIN,cervello,cervell,o,i/a,II,masc,,
,stag,stag,cervomasc,STAG,cervo,cerv,o,,II,masc,ANIM,
,hamper,hamper,cestafem,HAMPER,cesta,cest,a,,I,fem,,
,basketball_player,basketball_player,cestistamasc,BASKETBALL_PLAYER,cestista,cestist,a,i,IV,masc,ANIM,?
,TRASHCAN,TRASHCAN.DIM,cesto-DIMmasc,TRASHCAN.DIM,cesto-DIM,cestin,o,i,II,masc,,
delete,key,key,chiavefem,,chiave,chiave,-ø,,VI,fem,,
,key,key,chiavefem,KEY,chiave,chiav,e,i,III,fem,,
,key,key.DIM,chiave-DIMfem,KEY.DIM,chiave-DIM,chiavett,a,e,I,fem,,
,corn,corn,chiccomasc,CORN,chicco,chicch,o,i,II,masc,,
,corn,corn,chiccomasc,CORN,chicco,chicc,o,i,II,masc,,
,snail,snail,chiocciolafem,SNAIL,chiocciola,chiocciol,a,,I,fem,ANIM,
