Baseform,femm,masc
asciuttezz,a_e,
ascolt,,o_i
ascoltator,,e_i
asfalt,,o_i
asfissi,a_e,
asfissiant,,e_i
asiatic,,o_i
asil,,o_i
asimmetri,a_e,
asin,,o_i
asinell,,o_i
asol,a_e,
asparag,,o_i
aspett,,o_i
aspettativ,a_e,
aspirante,e_i,e_i
aspiranti,e_i,e_i
aspirazion,e_i,
aspirin,a_e,
asportazion,e_i,
asprezz,a_e,
assaggi,,o_i
assalitor,,e_i
assalt,,o_i
assaltator,,e_i
assassin,a_e,o_i
assassini,,o_i
assatanat,,o_i
asse,,t_s
assedi,,o_i
assediant,,e_i
assegn,,o_i
assegnatari,,o_i
assegnazion,e_i,
assemblaggi,,o_i
assemble,a_e,
assembrament,,o_i
assens,,o_i
assent,,e_i
assenteism,,o_i
assenteist,,a_i
assenz,a_e,
assert,,o_i
assertor,,e_i
asserzion,e_i,
assessor,,e_i
assessorat,,o_i
assestament,,o_i
asset,,t_s
assett,,o_i
assicurat,,o_i
assicurator,,e_i
assicurazion,e_i,
assill,,o_i
assimilazion,e_i,
assiom,,a_i
assis,e_i,
assist,,t_t
assistente,e_i,e_i
assistenti,e_i,e_i
assistenz,a_e,
assistenzialism,,o_i
assistit,a_e,o_i
associat,a_e,o_i
associazion,e_i,
associazionism,,o_i
assol,,o_i
assolo,,o_i
assolut,,o_i
assolutism,,o_i
assoluzion,e_i,
assonanz,a_e,
assorbent,,e_i
assorbiment,,o_i
assortiment,,o_i
assuefazion,e_i,
assunt,,o_i
assunzion,e_i,
assurd,,o_i
ast,a_e,
astant,,e_i
astension,e_i,
astensionism,,o_i
astensionist,,a_i
astenut,,o_i
asterisc,,o_i
asteroid,,e_i
asti,,o_i
astinenz,a_e,
astr,,o_i
astratt,,o_i
astrattezz,a_e,
astrattist,,a_i
astrazion,e_i,
astrofisic,,o_i
astrolog,a_e,o_i
astronaut,,a_i
astronav,e_i,
astronom,,o_i
astrus,,o_i
astruseri,a_e,
astucci,,o_i
astut,a_e,o_i
astuzi,a_e,
atalantin,,o_i
ate,,o_i
ateism,,o_i
atelier,,r_r
atene,,o_i
atenies,,e_i
atipic,,o_i
atlant,,e_i
atlet,a_e,a_i
atleta,a_e,a_i
atmosfer,a_e,
atoll,,o_i
atom,,o_i
atout,,t_t
atri,,o_i
att,,o_i
attacc,,o_i
attaccament,,o_i
attaccant,,e_i
atteggiament,,o_i
attendent,,e_i
attent,,o_i
attentat,,o_i
attentator,,e_i
attenuant,e_i,
attenuazion,e_i,
attenzion,e_i,
atterraggi,,o_i
atterrament,,o_i
attes,a_e,o_i
attestat,,o_i
attestazion,e_i,
attic,,o_i
attim,,o_i
attinenz,a_e,
attitudin,e_i,
attivator,,e_i
attivazion,e_i,
attivism,,o_i
attivist,a_e,a_i
attivista,a_e,a_i
attonit,a_e,o_i
attor,,e_i
attracc,,o_i
attrattiv,a_e,
attraversament,,o_i
attrazion,e_i,
attrezz,,o_i
attrezzatur,a_e,
attribut,,o_i
attribuzion,e_i,
attric,e_i,
attricett,a_e,
attrit,,o_i
attualizzazion,e_i,
attuazion,e_i,
audace,e_i,e_i
audaci,e_i,e_i
audience,e_e,
audiocassett,a_e,
audiovisiv,,o_i
auditori,,o_i
auditorium,,m_m
audizion,e_i,
auguri,,o_i
august,a_e,o_i
aul,a_e,
aument,,o_i
aur,a_e,
aureol,a_e,
auricolar,,e_i
auror,a_e,
ausili,,o_i
ausiliari,,o_i
auspici,,o_i
auster,,o_i
australian,,o_i
austriac,,o_i
autarchi,a_e,
autarchic,,o_i
authority,y_y,
autist,,a_i
auto,o_o,o_o
autoaccus,a_e,
autoadesiv,,o_i
autoambulanz,a_e,
autoanalisi,i_i,
autoarticolat,,o_i
autobiografi,a_e,
autoblind,a_e,
autoblindo,o_o,
autobomb,a_e,
autobomba,a_e,
autobott,e_i,
autobus,,s_s
autocandidatur,a_e,
autocarr,,o_i
autocelebrazion,e_i,
autocensur,a_e,
autocertificazion,e_i,
autocitazion,e_i,
autoclav,e_i,
autocompiaciment,,o_i
autocontroll,,o_i
autoconvocat,,o_i
autocoscienz,a_e,
autocrat,,e_i
autocrazi,a_e,
autocritic,a_e,
autodenunci,a_e,
autodeterminazion,e_i,
autodidatt,,a_i
autodifes,a_e,
autodistruzion,e_i,
autodrom,,o_i
autoferrotranvier,,e_i
autofinanziament,,o_i
autogestion,e_i,
autogol,,l_l
autogovern,,o_i
autograf,,o_i
autogrill,,l_l
autoironi,a_e,
autolimitazion,e_i,
autom,,a_i
automatic,a_e,
automatism,,o_i
automazion,e_i,
autombulanz,a_e,
automezz,,o_i
automobil,e_i,
automobilin,a_e,
automobilist,a_e,a_i
automobilista,a_e,a_i
autonoleggi,,o_i
autonom,,o_i
autonomi,a_e,
autonomism,,o_i
autonomist,,a_i
autoparc,,o_i
autopattugli,a_e,
autopomp,a_e,
autoproduttor,,e_i
autopsi,a_e,
autor,,e_i
autoradio,o_o,
autoregolamentazion,e_i,
autoriform,a_e,
autorimess,a_e,
autoritari,,o_i
autoritarism,,o_i
autoritratt,,o_i
autorizzazion,e_i,
autosalon,,e_i
autoscontr,,o_i
autoscuol,a_e,
autostrad,a_e,
autosufficienz,a_e,
autotrasportator,,e_i
autotren,,o_i
autoveicol,,o_i
autovelox,,x_x
autovettur,a_e,
autric,e_i,
autunn,,o_i
av,,o_i
avall,,o_i
avambracci,,o_i
avampost,,o_i
avance,e_e,
avanguardi,a_e,
avanguardism,,o_i
avanguardist,,a_i
avanspettacol,,o_i
avanz,,o_i
avanzament,,o_i
avari,a_e,
avarizi,a_e,
aviator,,e_i
aviazion,e_i,
avid,,o_i
avier,,e_i
aviogett,,o_i
avocazion,e_i,
avori,,o_i
avvallament,,o_i
avvelenament,,o_i
avvelenator,,e_i
avvenenz,a_e,
avveniment,,o_i
avvent,,o_i
avventor,,e_i
avventur,a_e,
avventurier,,o_i
avventurism,,o_i
avverbi,,o_i
avversari,a_e,o_i
avversion,e_i,
avvertenz,a_e,
avvertiment,,o_i
avvi,,o_i
avviament,,o_i
avvicendament,,o_i
avvicinament,,o_i
avviliment,,o_i
avvis,,o_i
avvisagli,a_e,
avvisator,,e_i
avvistament,,o_i
avvitament,,o_i
avvocat,,o_i
avvocatess,a_e,
avvolgiment,,o_i
avvoltoi,,o_i
ayatollah,,h_h
azale,a_e,
azer,,o_i
aziend,a_e,
aziendin,a_e,
azionament,,o_i
azionariat,,o_i
azione,e_i,e_i
azioni,e_i,e_i
azionist,a_e,a_i
azionista,a_e,a_i
azzard,,o_i
azzerament,,o_i
