Line,"{'+atomic', '+definite'} - definite - a_2","{'-atomic', '+definite'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'-atomic', '+definite'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
508,62.300000000000615,43.50000000000035,66.20000000000051,26.50000000000011,25.10000000000009,34.800000000000225,12.499999999999973,24.100000000000076,4.500000000000001
509,62.300000000000615,43.60000000000035,66.5000000000005,26.50000000000011,25.20000000000009,34.900000000000226,12.599999999999973,24.30000000000008,4.500000000000001
510,62.300000000000615,43.70000000000035,66.80000000000048,26.50000000000011,25.300000000000093,35.00000000000023,12.699999999999973,24.50000000000008,4.500000000000001
511,62.70000000000062,43.80000000000035,66.80000000000048,26.60000000000011,25.300000000000093,35.10000000000023,12.699999999999973,24.50000000000008,4.500000000000001
512,62.80000000000062,43.80000000000035,66.80000000000048,26.800000000000114,25.300000000000093,35.10000000000023,12.699999999999973,24.50000000000008,4.6000000000000005
513,62.80000000000062,43.80000000000035,66.90000000000047,26.800000000000114,25.400000000000095,35.10000000000023,12.699999999999973,24.50000000000008,4.6000000000000005
514,62.80000000000062,43.80000000000035,67.00000000000047,26.800000000000114,25.600000000000097,35.10000000000023,12.699999999999973,24.50000000000008,4.6000000000000005
515,62.80000000000062,43.80000000000035,67.10000000000046,26.800000000000114,25.7000000000001,35.10000000000023,12.699999999999973,24.50000000000008,4.6000000000000005
516,62.80000000000062,43.80000000000035,67.20000000000046,26.800000000000114,25.8000000000001,35.10000000000023,12.699999999999973,24.50000000000008,4.6000000000000005
517,63.20000000000063,43.900000000000354,67.20000000000046,26.900000000000116,25.8000000000001,35.20000000000023,12.699999999999973,24.50000000000008,4.6000000000000005
518,63.20000000000063,44.000000000000355,67.50000000000044,26.900000000000116,25.9000000000001,35.30000000000023,12.799999999999972,24.700000000000085,4.6000000000000005
519,63.50000000000063,44.10000000000036,67.50000000000044,27.000000000000117,25.9000000000001,35.40000000000023,12.799999999999972,24.700000000000085,4.6000000000000005
520,63.50000000000063,44.20000000000036,67.80000000000042,27.000000000000117,26.000000000000103,35.500000000000234,12.899999999999972,24.900000000000087,4.6000000000000005
521,63.50000000000063,44.30000000000036,68.1000000000004,27.000000000000117,26.100000000000104,35.600000000000236,12.999999999999972,25.10000000000009,4.6000000000000005
522,63.90000000000064,44.40000000000036,68.1000000000004,27.10000000000012,26.100000000000104,35.70000000000024,12.999999999999972,25.10000000000009,4.6000000000000005
523,64.30000000000062,44.50000000000036,68.1000000000004,27.20000000000012,26.100000000000104,35.80000000000024,12.999999999999972,25.10000000000009,4.6000000000000005
524,64.6000000000006,44.600000000000364,68.1000000000004,27.30000000000012,26.100000000000104,35.90000000000024,12.999999999999972,25.10000000000009,4.6000000000000005
525,64.6000000000006,44.700000000000365,68.40000000000039,27.30000000000012,26.200000000000106,36.00000000000024,13.099999999999971,25.300000000000093,4.6000000000000005
526,64.7000000000006,44.90000000000037,68.50000000000038,27.30000000000012,26.200000000000106,36.00000000000024,13.099999999999971,25.300000000000093,4.6000000000000005
527,64.7000000000006,45.00000000000037,68.80000000000037,27.30000000000012,26.300000000000107,36.10000000000024,13.19999999999997,25.500000000000096,4.6000000000000005
528,65.10000000000058,45.10000000000037,68.80000000000037,27.400000000000123,26.300000000000107,36.200000000000244,13.19999999999997,25.500000000000096,4.6000000000000005
529,65.10000000000058,45.10000000000037,68.90000000000036,27.400000000000123,26.40000000000011,36.200000000000244,13.19999999999997,25.500000000000096,4.6000000000000005
530,65.20000000000057,45.10000000000037,68.90000000000036,27.700000000000127,26.40000000000011,36.200000000000244,13.19999999999997,25.500000000000096,4.7
531,65.30000000000057,45.300000000000374,69.00000000000036,27.700000000000127,26.40000000000011,36.200000000000244,13.19999999999997,25.500000000000096,4.7
532,65.40000000000056,45.300000000000374,69.10000000000035,27.700000000000127,26.40000000000011,36.40000000000025,13.19999999999997,25.500000000000096,4.7
533,65.50000000000055,45.50000000000038,69.20000000000034,27.700000000000127,26.40000000000011,36.40000000000025,13.19999999999997,25.500000000000096,4.7
534,65.90000000000053,45.60000000000038,69.20000000000034,27.80000000000013,26.40000000000011,36.50000000000025,13.19999999999997,25.500000000000096,4.7
535,66.00000000000053,45.60000000000038,69.20000000000034,28.00000000000013,26.40000000000011,36.50000000000025,13.19999999999997,25.500000000000096,4.8
536,66.00000000000053,45.60000000000038,69.30000000000034,28.00000000000013,26.50000000000011,36.50000000000025,13.19999999999997,25.500000000000096,4.8
537,66.00000000000053,45.70000000000038,69.60000000000032,28.00000000000013,26.60000000000011,36.60000000000025,13.29999999999997,25.7000000000001,4.8
538,66.10000000000052,45.70000000000038,69.70000000000032,28.00000000000013,26.60000000000011,36.80000000000025,13.29999999999997,25.7000000000001,4.8
539,66.20000000000051,45.70000000000038,69.80000000000031,28.00000000000013,26.60000000000011,37.000000000000256,13.29999999999997,25.7000000000001,4.8
540,66.20000000000051,45.70000000000038,69.9000000000003,28.00000000000013,26.700000000000113,37.000000000000256,13.29999999999997,25.7000000000001,4.8
541,66.20000000000051,45.80000000000038,70.20000000000029,28.00000000000013,26.800000000000114,37.10000000000026,13.39999999999997,25.9000000000001,4.8
542,66.60000000000049,45.90000000000038,70.20000000000029,28.100000000000133,26.800000000000114,37.20000000000026,13.39999999999997,25.9000000000001,4.8
543,66.60000000000049,46.000000000000384,70.50000000000027,28.100000000000133,26.900000000000116,37.30000000000026,13.49999999999997,26.100000000000104,4.8
