Line,"{'+definite', '+atomic'} - definite - a_2","{'+definite', '-atomic'} - definite - e_1","{'+definite', '+atomic'} - definite - o_2","{'-definite', '+atomic', '-feminine'} - definite - o_2","{'-definite', '+atomic'} - definite - o_2","{'+feminine', '-definite', '+atomic'} - definite - a_2","{'-definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '-definite', '+atomic'} - definite - a_3","{'+feminine', '-definite', '+atomic'} - definite - a_4","{'+feminine', '+definite', '+atomic'} - definite - a_4","{'+definite', '-atomic', '-feminine'} - definite - i_2","{'+definite', '-atomic', '-feminine'} - definite - i_3","{'+feminine', '+definite', '-atomic'} - definite - e_2","{'+definite', '+atomic', '-feminine'} - definite - o_3","{'+feminine', '+definite', '-atomic'} - definite - e_4","{'+definite', '+atomic', '-feminine'} - definite - o_2","{'+definite', '-atomic', '-feminine'} - definite - i_4","{'+feminine', '+definite', '+atomic'} - definite - a_3","{'+definite', '-atomic'} - definite - i_4","{'-definite', '+atomic'} - definite - a_2","{'+feminine', '+definite', '+atomic'} - definite - a_2"
59,3.9000000000000026,2.300000000000001,5.099999999999999,2.300000000000001,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,2.8000000000000016,3.0000000000000018,2.300000000000001,2.9000000000000017,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
60,4.000000000000003,2.6000000000000014,5.199999999999998,2.300000000000001,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,2.9000000000000017,3.0000000000000018,2.4000000000000012,2.9000000000000017,1.6000000000000005,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
61,4.100000000000002,2.6000000000000014,5.299999999999998,2.300000000000001,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.0000000000000018,3.400000000000002,2.6000000000000014,2.9000000000000017,1.6000000000000005,1.5000000000000004,1.9000000000000008,1.6000000000000005,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
62,4.200000000000002,2.6000000000000014,5.399999999999998,2.300000000000001,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.100000000000002,3.7000000000000024,2.9000000000000017,2.9000000000000017,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
63,4.300000000000002,2.7000000000000015,5.399999999999998,2.300000000000001,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.200000000000002,3.7000000000000024,2.9000000000000017,2.9000000000000017,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
64,4.300000000000002,2.7000000000000015,5.499999999999997,2.4000000000000012,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.200000000000002,3.7000000000000024,2.9000000000000017,2.9000000000000017,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
65,4.300000000000002,2.7000000000000015,5.499999999999997,2.4000000000000012,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.300000000000002,3.7000000000000024,2.9000000000000017,2.9000000000000017,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
66,4.300000000000002,2.7000000000000015,5.599999999999997,2.5000000000000013,1.5000000000000004,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.300000000000002,3.7000000000000024,2.9000000000000017,2.9000000000000017,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
67,4.300000000000002,2.7000000000000015,5.699999999999997,2.5000000000000013,1.6000000000000005,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.300000000000002,3.7000000000000024,2.9000000000000017,2.9000000000000017,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.2000000000000002,1.8000000000000007,1.5000000000000004,1.2000000000000002
68,4.300000000000002,2.8000000000000016,6.199999999999995,2.6000000000000014,1.7000000000000006,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.300000000000002,3.8000000000000025,2.9000000000000017,3.0000000000000018,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.3000000000000003,1.8000000000000007,1.5000000000000004,1.2000000000000002
69,4.300000000000002,2.8000000000000016,6.2999999999999945,2.6000000000000014,1.8000000000000007,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.300000000000002,3.8000000000000025,2.9000000000000017,3.0000000000000018,1.6000000000000005,1.6000000000000005,2.000000000000001,1.7000000000000006,1.3000000000000003,1.8000000000000007,1.5000000000000004,1.2000000000000002
70,4.300000000000002,2.8000000000000016,6.2999999999999945,2.6000000000000014,1.8000000000000007,1.6000000000000005,2.000000000000001,2.4000000000000012,1.6000000000000005,3.300000000000002,3.8000000000000025,2.9000000000000017,3.0000000000000018,1.7000000000000006,1.6000000000000005,2.000000000000001,1.7000000000000006,1.3000000000000003,1.8000000000000007,1.5000000000000004,1.2000000000000002
71,4.400000000000001,2.8000000000000016,6.2999999999999945,2.6000000000000014,1.8000000000000007,1.7000000000000006,2.100000000000001,2.6000000000000014,1.7000000000000006,3.400000000000002,3.8000000000000025,2.9000000000000017,3.0000000000000018,1.7000000000000006,1.6000000000000005,2.000000000000001,1.7000000000000006,1.3000000000000003,1.8000000000000007,1.5000000000000004,1.2000000000000002
72,4.400000000000001,2.9000000000000017,6.799999999999993,2.7000000000000015,1.9000000000000008,1.7000000000000006,2.100000000000001,2.6000000000000014,1.7000000000000006,3.400000000000002,3.9000000000000026,2.9000000000000017,3.100000000000002,1.8000000000000007,1.6000000000000005,2.000000000000001,1.7000000000000006,1.4000000000000004,1.8000000000000007,1.5000000000000004,1.2000000000000002
73,4.500000000000001,2.9000000000000017,6.799999999999993,2.7000000000000015,1.9000000000000008,1.8000000000000007,2.200000000000001,2.6000000000000014,1.7000000000000006,3.400000000000002,3.9000000000000026,2.9000000000000017,3.100000000000002,1.8000000000000007,1.6000000000000005,2.000000000000001,1.7000000000000006,1.4000000000000004,1.8000000000000007,1.7000000000000006,1.3000000000000003
